Facility name,Address,Borough,ZIP Code,Accessible,Facility type,latitude,longitude
India Home Desi OAC -OLDER ADULTS ONLY,178-36 Wexford Terrace,Queens,11432,Yes,Older Adult Center,40.7133018,-73.7842871
Wayside Out Glenmore Plaza Social Club -OLDER ADULTS ONLY,1777 Pitkin Avenue,Brooklyn,11212,No,Older Adult Center,40.670321,-73.9075097
Grand St Settlement Grand Coalition of Older Adults OAC -OLDER ADULTS ONLY,175 Delancy St 4th FlL,Manhattan,10002,Yes,Older Adult Center,,
Rochdale Village OAC -OLDER ADULTS ONLY,169-65 137 Av,Queens,11434,Yes,Older Adult Center,,
CPC Project Open Door Neighborhood OAC -OLDER ADULTS ONLY,168 Grand St,Manhattan,10013,Yes,Older Adult Center,40.7197599,-73.9981915
SHOPP Soundview Social Club OAC -OLDER ADULTS ONLY,1674 Seward Avenue,Bronx,10473,No,Older Adult Center,40.8179862,-73.8696313
RJ Rangel OAC -OLDER ADULTS ONLY,159-36 Harlem River Drive,Manhattan,10039,No,Older Adult Center,40.833163,-73.9358967
Stuyvesant Gardens Senior Club OAC -OLDER ADULTS ONLY,150 Malcolm X Boulevard,Brooklyn,11221,No,Older Adult Center,40.6881707,-73.9308904
Casabe Senior Houses aka East Harlem OAC -OLDER ADULTS ONLY,150 E 121 St,Manhattan,10035,Yes,Older Adult Center,40.7572301,-73.9707427
Bernikow OAC -OLDER ADULTS ONLY,1466 Manor Rd,Staten Island,10314,Yes,Older Adult Center,40.5948398,-74.1264587
Marcus Garvey OAC -OLDER ADULTS ONLY,1440 East New York Avenue,Brooklyn,11212,No,Older Adult Center,40.6704561,-73.9143786
Canaan Senior Service OAC -OLDER ADULTS ONLY,1428 5th Avenue,Manhattan,10026,Yes,Older Adult Center,40.8010747,-73.9464231
FIND Aid Hamilton OAC -OLDER ADULTS ONLY,141 W 73 St,Manhattan,10023,Yes,Older Adult Center,40.7793901,-73.981373
Young at Heart Senior Center at the Flatbush YMCA OAC -OLDER ADULTS ONLY,1401 Flatbush Avenue,Brooklyn,11210,Yes,Older Adult Center,40.6365572,-73.9514716
Robert Couche OAC -OLDER ADULTS ONLY,137-57 Farmers Blvd,Queens,11434,Yes,Older Adult Center,40.672637,-73.7638337
Seth Low Social Clubs CD16 -OLDER ADULTS ONLY,137 Belmont Avenue,Brooklyn,11212,No,Older Adult Center,40.669741,-73.9051386
Center at the Red Oak OAC -OLDER ADULTS ONLY,135 W 106 St,Manhattan,10025,Yes,Older Adult Center,40.7937515,-73.9498258
Jackie Robinson OAC -OLDER ADULTS ONLY,1301 Amsterdam Ave.,Manhattan,10027,Yes,Older Adult Center,40.811798,-73.956572
New Dorp Beach OAC -OLDER ADULTS ONLY,128 Cedar Grove Avenue,Staten Island,10306,Yes,Older Adult Center,40.5613937,-74.0999488
FIND Aid Woodstock OAC -OLDER ADULTS ONLY,127 W 43 St,Manhattan,10036,Yes,Older Adult Center,40.753825,-73.9795846
Congregation Yetev Lev --Williamsburg Satmar OAC -OLDER ADULTS ONLY,125 Heyward St,Brooklyn,11206,Yes,Older Adult Center,40.7016992,-73.9564612
Red Hook OAC -OLDER ADULTS ONLY,120 W 9 St,Brooklyn,11231,Yes,Older Adult Center,,
JASA Club 76 OAC -OLDER ADULTS ONLY,120 W 76 St,Manhattan,10023,Yes,Older Adult Center,40.7802272,-73.9779141
ARC XVI Central Harlem OAC -OLDER ADULTS ONLY,120 W 140 St,Manhattan,10030,Yes,Older Adult Center,40.8121344,-73.947926
Hudson Guild OAC -OLDER ADULTS ONLY,119 9th Ave.,Manhattan,10011,Yes,Older Adult Center,40.7432442,-74.0039393
CCNS Best Life OAC -OLDER ADULTS ONLY,118-35 Farmers Blvd.,Queens,11412,No,Older Adult Center,40.6893797,-73.7616093
Bergen Basin Independence OAC -OLDER ADULTS ONLY,114 Taylor St,Brooklyn,11211,Yes,Older Adult Center,40.7053735,-73.9634049
CORONA OAC -OLDER ADULTS ONLY,107-24 Corona Av,Queens,11368,Yes,Older Adult Center,40.7433377,-73.8554728
Hope of Israel Senior Citizens Center -OLDER ADULTS ONLY,1068 Gerard Avenue,Bronx,10452,Yes,Older Adult Center,40.8321311,-73.9219097
Willoughby OAC -OLDER ADULTS ONLY,105 North Portland Av,Brooklyn,11205,Yes,Older Adult Center,40.6946377,-73.9756736
CCNS Ozone Park OAC -OLDER ADULTS ONLY,103-02 101 Av,Queens,11416,Yes,Older Adult Center,,
"Polish and Slavic Center, Inc -OLDER ADULTS ONLY",103 E 7 St,Manhattan,10009,Yes,Older Adult Center,40.7268518,-73.9852072
Council Ctr for Senior Citizens OAC -OLDER ADULTS ONLY,1001 Quentin Rd,Brooklyn,11223,Yes,Older Adult Center,40.6079984,-73.9628157
Schomburg Center for Research in Black Culture,515 Malcolm X Boulevard,Manhattan,10037,Yes,Library,40.814706,-73.940542
Andrew Heiskell Braille & Talking Book Library,40 W 20 St,Manhattan,10011,Yes,Library,40.7077506,-74.0116858
Library for the Performing Arts,40 Lincoln Center Plz,Manhattan,10023,Yes,Library,,
Bronx House Weinberg Neighborhood OAC -OLDER ADULTS ONLY,990 Pelham Pkwy S,Bronx,10461,Yes,Older Adult Center,40.856726,-73.860807
